ID,Author,Title,Date,Gazette,,,,
262,Remzi Çayır,Müslüman topluluklar Birliği Kongresi ya da mazlumların dirilişi,17.11.2017,National Newspaper,,,,
263,Remzi Çayır,Rasyonelleşmeye ihtiyaç var,14.11.2017,National Newspaper,,,,
264,Prof. Dr. Ata Atun,Görevim takiye yapmaktır,2.12.2017,National Newspaper,,,,
265,Prof. Dr. Ata Atun,Rumlardan yeni bir oyun daha,1.12.2017,National Newspaper,,,,
266,Prof. Dr. Ata Atun,Türkiye’nin yardımları ne zaman başladı?,27.11.2017,National Newspaper,,,,
267,Prof. Dr. Ata Atun,Kızılay Yardımları ve Rumlar,20.11.2017,National Newspaper,,,,
268,Prof. Dr. Ata Atun,Anastasiadis hâlâ hayal peşinde,17.11.2017,National Newspaper,,,,
269,Prof. Dr. Ata Atun,İzini bırakıp giden babam Hakkı Atun,15.11.2017,National Newspaper,,,,
270,Prof. Dr. Ata Atun,Suudi Arabistan’da neler oluyor?,10.11.2017,National Newspaper,,,,
271,Prof. Dr. Ata Atun,KKTC-Türkiye arasında yeni ticaret anlayışı,6.11.2017,National Newspaper,,,,
272,Prof. Dr. Ata Atun,İstanbul’a 3’üncü havalimanı gerekli miydi?,3.11.2017,National Newspaper,,,,
273,Prof. Dr. Ata Atun,Kocaeli Kartepe Zirvesi,30.10.2017,National Newspaper,,,,
274,Mevlüt Özcan,Hacamat nasıl yapılır?,5.12.2017,National Newspaper,,,,
275,Mevlüt Özcan,Silah Taşımak,28.11.2017,National Newspaper,,,,
276,Mevlüt Özcan,Sürekli namaz kılmanın fazileti,25.11.2017,National Newspaper,,,,
277,Mevlüt Özcan,Selam ile ilgili bir konu,14.11.2017,National Newspaper,,,,
278,Mevlüt Özcan,Hâl-hatır sormak,10.11.2017,National Newspaper,,,,
279,Mevlüt Özcan,Esvaplar,31.10.2017,National Newspaper,,,,
280,Mevlüt Özcan,Allah’ a teslimiyetin saadeti,21.10.2017,National Newspaper,,,,
281,Mevlüt Özcan,Sihir ve büyü şeytan yoludur,17.10.2017,National Newspaper,,,,
282,Mevlüt Özcan,Evlerimiz hapishanelerimiz oldu,14.10.2017,National Newspaper,,,,
283,Mevlüt Özcan,Nasıl iyi olacaksınız?,30.9.2017,National Newspaper,,,,
284,Mahmut Toptaş,Ortak değerlerimiz nelerdir?,6.12.2017,National Newspaper,,,,
285,Mahmut Toptaş,Ayete kulak verelim,5.12.2017,National Newspaper,,,,
286,Mahmut Toptaş,Biz bu çağın davetçileriyiz,4.12.2017,National Newspaper,,,,
287,Mahmut Toptaş,Biz bu çağın şahitleriyiz,1.12.2017,National Newspaper,,,,
288,Mahmut Toptaş,Müslüman vize tuzağı kuramaz,30.11.2017,National Newspaper,,,,
289,Mahmut Toptaş,Sulh ve savaş,29.11.2017,National Newspaper,,,,
290,Mahmut Toptaş,İşaret Taşlarımızla Oynuyorlar,28.11.2017,National Newspaper,,,,
291,Mahmut Toptaş,Sorunlular sorun çıkarırlar,27.11.2017,National Newspaper,,,,
292,Mahmut Toptaş,Eğitim bozukluğundan kan gövdeyi götürüyor…,24.11.2017,National Newspaper,,,,
293,Mahmut Toptaş,Bülbülü gülden ayıramazsınız,23.11.2017,National Newspaper,,,,
294,Fatma Tuncer,Mazoşist bireyler,6.12.2017,National Newspaper,,,,
295,Fatma Tuncer,Genç bireylerin sorumluluğu,5.12.2017,National Newspaper,,,,
296,Fatma Tuncer,Bir öğretmen olarak Mus’ab Bin Ümeyr,4.12.2017,National Newspaper,,,,
297,Fatma Tuncer,Gençler nereye koşuyor?,30.11.2017,National Newspaper,,,,
298,Fatma Tuncer,Siz olsanız ne yapardınız?,29.11.2017,National Newspaper,,,,
299,Fatma Tuncer,Neler yapabiliriz?,28.11.2017,National Newspaper,,,,
300,Fatma Tuncer,Okumaya vakit bulamıyor musunuz?,27.11.2017,National Newspaper,,,,
301,Fatma Tuncer,Bizden olmayan gitsin,25.11.2017,National Newspaper,,,,
302,Fatma Tuncer,Balfour Deklerasyonu,24.11.2017,National Newspaper,,,,
303,Fatma Tuncer,Kadının kadına düşmanlığı,23.11.2017,National Newspaper,,,,
304,Melih Altınok,Erdoğan Atina’da da ezberleri bozdu!,8.12.2017,Morning Newspaper,,,,
305,Melih Altınok,Ger bakalım,6.12.2017,Morning Newspaper,,,,
306,Melih Altınok,Cumhurbaşkanının kulağına gelenler ne?,4.12.2017,Morning Newspaper,,,,
307,Melih Altınok,“6. Filo defol”dan “Yoldaş Amerika”ya...,3.12.2017,Morning Newspaper,,,,
308,Melih Altınok,Kemal Bey nasıl yapıyor ediyor da...,02.12.2017,Morning Newspaper,,,,
309,Melih Altınok,Yallah Amerika’ya!,1.12.2017,Morning Newspaper,,,,
310,Zeki Ceyhan,Armudun sapı, üzümün çöpü!,6.12.2017,National Newspaper,,,
311,Melih Altınok,Bu “ecnebilerin” başka işi gücü yok mu kardeşim?,29.11.2017,Morning Newspaper,,,,
312,Zeki Ceyhan,Bakalım “Mustafa” neler yapacak?,5.12.2017,National Newspaper,,,,
313,Melih Altınok,“Ajan” söyle bakalım şimdi ne olacak?,27.11.2017,Morning Newspaper,,,,
314,Melih Altınok,Davutoğlu’nu kim niye yasaklasın Allah aşkına?,26.11.2017,Morning Newspaper,,,,
315,Melih Altınok,Patron Trump’ın çırak çıktığı o fotoğraf,25.11.2017,Morning Newspaper,,,,
316,Zeki Ceyhan,Gülelim mi, ağlayalım mı?,4.12.2017,National Newspaper,,,
317,Zeki Ceyhan,Demek ki yetmiyormuş!,2.12.2017,National Newspaper,,,,
318,Zeki Ceyhan,Müttefiklik yarışı!,30.11.2017,National Newspaper,,,,
319,Berat Albayrak,Yeni bin yılın şafağında,28.9.2015,Morning Newspaper,,,,
320,Zeki Ceyhan,Partini kur ama!,29.11.2017,National Newspaper,,,,
321,Berat Albayrak,Piyasalar! Endişeye mahal yok,21.9.2015,Morning Newspaper,,,,
322,Zeki Ceyhan,Bu daha büyük saçmalık!,28.11.2017,National Newspaper,,,,
323,Berat Albayrak,Yeni vitrin Yeni Türkiye,14.9.2015,Morning Newspaper,,,,
324,Zeki Ceyhan,Dileriz yine yanılmıyorlardır!,27.11.2017,National Newspaper,,,,
325,Zeki Ceyhan,Bir anlamı yok!,25.11.2017,National Newspaper,,,,
326,Berat Albayrak,Sanal algı ve gerçekler,7.9.2015,Morning Newspaper,,,,
327,Berat Albayrak,Ekonomi savaşları,31.8.2015,Morning Newspaper,,,,
328,Zeki Ceyhan,Gizli tanıklık sorgulanıyor!,24.11.2017,National Newspaper,,,,
329,Berat Albayrak,Geçmiş zaman olur ki!,24.8.2015,Morning Newspaper,,,,
330,Berat Albayrak,Manipülasyon sezonu açıldı,17.8.2015,Morning Newspaper,,,,
331,Berat Albayrak,Siyaset ve Manifesto Safsatası,10.8.2015,Morning Newspaper,,,,
332,Berat Albayrak,Yeni Doğu,3.8.2015,Morning Newspaper,,,,
333,Berat Albayrak,Çin ve yeni dünya,28.7.2015,Morning Newspaper,,,,
334,Bercan Tutar,Soysuzlar çetesi yine kaybedecek,3.12.2017,Morning Newspaper,,,,
335,MEVLÜT TEZEL,Seda Sayan’a 1 Lira az!,8.12.2017,Morning Newspaper,,,,
336,MEVLÜT TEZEL,Diktatörler bile bunu söylemez!,7.12.2017,Morning Newspaper,,,,
337,MEVLÜT TEZEL,Devir değişti, Cem Yılmaz da değişti,6.12.2017,Morning Newspaper,,,
338,MEVLÜT TEZEL,Tarihten ders çıkar, #aynıgemideyiz!,1.12.2017,Morning Newspaper,,,
339,MEVLÜT TEZEL,CHP’nin zihniyeti buysa yandık!,27.11.2017,Morning Newspaper,,,,
340,MEVLÜT TEZEL,Netflix, Türkiye ve Erdoğan’dan özür diler mi?,21.11.2017,Morning Newspaper,,,
341,MEVLÜT TEZEL,FETÖ tezlerini savunan dizi,20.11.2017,Morning Newspaper,,,,
342,MEVLÜT TEZEL,Erdoğan-Elon Musk buluşması,9.11.2017,Morning Newspaper,,,,
343,MEVLÜT TEZEL,Yoksa herkes yeni AKM’yi beğendi mi?,8.11.2017,Morning Newspaper,,,,
344,MEVLÜT TEZEL,Cem Korkmaz neden intihar etti?,3.11.2017,Morning Newspaper,,,,
345,OKAN MÜDERRİSOĞLU,Kurdaki dalgalanma geçici,8.12.2017,Morning Newspaper,,,,
346,OKAN MÜDERRİSOĞLU,Küresel ekmek kavgası... CHP’nin tehdidi!..,7.12.2017,Morning Newspaper,,,,
347,OKAN MÜDERRİSOĞLU,Türkiye’nin çıkarları mı, ABD çıkarları mı?,5.12.2017,Morning Newspaper,,,
348,OKAN MÜDERRİSOĞLU,New York... Ankara... Tahran...,2.12.2017,Morning Newspaper,,,,
349,OKAN MÜDERRİSOĞLU,Kılıçdaroğlu “Bu işi ne uğruna ne zaman, nasıl yapıyor?”,30.11.2017,Morning Newspaper,,,
350,OKAN MÜDERRİSOĞLU,Bu bir “inanç” meselesidir!,28.11.2017,Morning Newspaper,,,,
351,OKAN MÜDERRİSOĞLU,NATO’nun cevaplaması gereken sorular...,25.11.2017,Morning Newspaper,,,,
352,OKAN MÜDERRİSOĞLU,Zor oyunu bozar!,23.11.2017,Morning Newspaper,,,,
353,OKAN MÜDERRİSOĞLU,Soçi’de son tur pazarlığı,21.11.2017,Morning Newspaper,,,,
354,OKAN MÜDERRİSOĞLU,PKK’ya “kaç” PYD-YPG’ye “tut” oyunu,18.11.2017,Morning Newspaper,,,,
355,NİHAT HATİPOĞLU,Dünya Müslümanları özeleştiri yapmalı,8.12.2017,Morning Newspaper,,,,
356,NİHAT HATİPOĞLU,Gençleri dışlamayalım,1.12.2017,Morning Newspaper,,,,
357,NİHAT HATİPOĞLU,Mevlid Kandili birliğe fırsat olsun,24.11.2017,Morning Newspaper,,,,
358,NİHAT HATİPOĞLU,Farkında mısın?,17.11.2017,Morning Newspaper,,,,
359,NİHAT HATİPOĞLU,Müslümanlar ne zaman huzura erer?,10.11.2017,Morning Newspaper,,,,
360,NİHAT HATİPOĞLU,Fıkıh mezheplerinin çıkışı üzerine,3.11.2017,Morning Newspaper,,,,
361,NİHAT HATİPOĞLU,Cumhurbaşkanımızın hadisle ilgili hassasiyeti,27.10.2017,Morning Newspaper,,,,
362,NİHAT HATİPOĞLU,Ölüler dirilseydi,20.10.2017,Morning Newspaper,,,,
363,NİHAT HATİPOĞLU,Büyük günahlar,11.8.2017,Morning Newspaper,,,,
364,NİHAT HATİPOĞLU,Kur’an-ı Kerim son peygamberi tanıtıyor,4.8.2017,Morning Newspaper,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
375,Bercan Tutar,Zarrab tiyatrosu,30.11.2017,Morning Newspaper,,,,
376,Bercan Tutar,YPG’lilerde Trump şoku,26.11.2017,Morning Newspaper,,,,
377,Bercan Tutar,ABD Soçi’de neden yoktu?,23.11.2017,Morning Newspaper,,,,
378,Bercan Tutar,Nato kafa nato mermer!,19.11.2017,Morning Newspaper,,,,
379,Bercan Tutar,Rakka’daki kirli ittifaka Sülo tokadı,16.11.2017,Morning Newspaper,,,,
380,Bercan Tutar,Kral Selman’a ‘Barzani uyarısı’,12.11.2017,Morning Newspaper,,,,
381,Bercan Tutar,Trump’ın ‘Yeni Riyad’ projesi hüsranla bitecek,9.11.2017,Morning Newspaper,,,,
382,Bercan Tutar,Düşmanın gücü zayıflığınız kadardır,5.11.2017,Morning Newspaper,,,,
383,Bercan Tutar,Dünyanın en büyük güvenlik sorunu artık ABD,15.10.2017,Morning Newspaper,,,,
384,Dilek Güngör,Borajet’in eski sahibi dava açıyor,8.12.2017,Morning Newspaper,,,,
385,Dilek Güngör,Londra’yı mesken tutan işadamları!,6.12.2017,Morning Newspaper,,,,
386,Dilek Güngör,Zararı cepten ödeyip Rusya’yla anlaştılar,3.12.2017,Morning Newspaper,,,,
387,Dilek Güngör,Sizi biri fena işletmiş Kemal Bey!,30.11.2017,Morning Newspaper,,,,
388,Dilek Güngör,Canıtez’e gizli görev veren Emniyetçiler kim?,29.11.2017,Morning Newspaper,,,,
389,Dilek Güngör,9 yılda sıfır faiz ile ev satın alabilirsiniz,26.11.2017,Morning Newspaper,,,,
390,Dilek Güngör,Dövizle kiralar kaldırılsın!,24.11.2017,Morning Newspaper,,,,
391,Dilek Güngör,Kamu savaşa girdi!,22.11.2017,Morning Newspaper,,,,
392,Dilek Güngör,Tezgah büyük,18.11.2017,Morning Newspaper,,,,
393,Dilek Güngör,Halkbank’ta cirit atan kim?,17.11.2017,Morning Newspaper,,,,
394,NUR ÇİNTAY,Dayanışmanın tadı,3.12.2017,Morning Newspaper,,,,
395,NUR ÇİNTAY,18 saatlik uçak yolculuğu,3.12.2017,Morning Newspaper,,,,
396,NUR ÇİNTAY,Her kadın bir gün prenses olabilir!,2.12.2017,Morning Newspaper,,,,
397,NUR ÇİNTAY,Damağa ve dimağa,19.11.2017,Morning Newspaper,,,,
398,NUR ÇİNTAY,Aynı semtlere hapsolmayalım!,18.11.2017,Morning Newspaper,,,,
399,NUR ÇİNTAY,Şefkatli güç: Gastronomi,12.11.2017,Morning Newspaper,,,,
400,NUR ÇİNTAY,Efsane tren yolculukları,12.11.2017,Morning Newspaper,,,,
401,NUR ÇİNTAY,Son dakikacılar buraya!,11.11.2017,Morning Newspaper,,,,
402,NUR ÇİNTAY,Hayata Sarıl Lokantası,5.11.2017,Morning Newspaper,,,,
403,NUR ÇİNTAY,Üç patetik vaka,4.11.2017,Morning Newspaper,,,,
